AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,label,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
0,0,0,0,0,1,1,FALSE,g15040,g15040,3,0,0,FALSE,0,g15040,0
0,0,0,0,0,3,3,FALSE,"Cre02.g073300,Cre02.g073350,Cre02.g073400","Cre02.g073300,Cre02.g073350,Cre02.g073400",7,0,0,FALSE,0,"Cre02.g073300,Cre02.g073350,Cre02.g073400",0
4.5,0,0.222222222,0,9,1,0,FALSE,Cre07.g317850,Cre07.g317850,12,1,0,FALSE,0,Cre07.g317850,0
0,0,0,0,0,1,1,FALSE,Cre13.g585950,Cre13.g585950,25,0,0,FALSE,0,Cre13.g585950,0
0,0,0,0,0,2,2,FALSE,g12963,g12963,4.5,0,0,FALSE,0,g12963,0
3.858490566,0,0.259168704,0,7,2,0,FALSE,Cre07.g329950,Cre07.g329950,24,2,0,FALSE,0,Cre07.g329950,0
4.631578947,0,0.215909091,0,8,1,0,FALSE,Cre01.g028900,Cre01.g028900,14,1,0,FALSE,0,Cre01.g028900,0
1.333333333,0,0.75,0.5,2,2,0,FALSE,g8711,g8711,9,2,0,FALSE,0,g8711,0
6.027522936,0,0.165905632,0,13,1,0,FALSE,Cre10.g449150,Cre10.g449150,15,1,0,FALSE,0,Cre10.g449150,0
0,0,0,0,0,1,1,FALSE,Cre10.g438300,Cre10.g438300,15,0,0,FALSE,0,Cre10.g438300,0
0,0,0,0,0,1,1,FALSE,"Cre04.g213750,g4703","Cre04.g213750,g4703",17,0,0,FALSE,0,"Cre04.g213750,g4703",0
0,0,0,0,0,1,1,FALSE,g8390,g8390,149,0,0,FALSE,0,g8390,0
2.2,0,0.454545455,0,3,1,0,FALSE,g12973,g12973,7,1,0,FALSE,0,g12973,0
3.6484375,0.017992701,0.274089936,0.209090909,7,11,1,FALSE,g18036,g18036,32.72727273,10,0,FALSE,0,g18036,15895533
0,0,0,0.261904762,0,7,7,FALSE,g9990,g9990,30.85714286,0,0,FALSE,0,g9990,0
2,0,0.5,0.5,3,2,1,FALSE,Cre06.g258650,Cre06.g258650,27,1,0,FALSE,0,Cre06.g258650,0
0,0,0,0,0,1,1,FALSE,Cre03.g168786,Cre03.g168786,61,0,0,FALSE,0,Cre03.g168786,0
0,0,0,0,0,1,1,FALSE,Cre17.g735850,Cre17.g735850,6,0,0,FALSE,0,Cre17.g735850,0
0,0,0,0,0,1,1,FALSE,g5030,g5030,60,0,0,FALSE,0,g5030,0
